  Units to produce  |  Predicted	| Relative error|         Sales     |  Predicted	| Relative error|       Rating    |  Predicted	| Relative error|      Acquisition|  Predicted	| Relative error|
	357.140000  | 356.187315	| 0.002668	|	606.100000  | 606.100000	| 0.000000	|	3.120000  | 2.530000	| 0.189103	|	2.530000  | 2.721180	| 0.075565	|
	348.800000  | 423.181773	| 0.213250	|	907.600000  | 965.580000	| 0.063883	|	3.210000  | 3.666279	| 0.142143	|	2.690000  | 3.090000	| 0.148699	|
	326.080000  | 334.589005	| 0.026095	|	965.580000  | 965.580000	| 0.000000	|	3.640000  | 3.833753	| 0.053229	|	3.090000  | 3.090000	| 0.000000	|
	306.120000  | 299.656011	| 0.021116	|	1053.360000  | 1053.360000	| 0.000000	|	3.800000  | 4.049886	| 0.065759	|	3.200000  | 3.200000	| 0.000000	|
	272.720000  | 280.092718	| 0.027034	|	1065.900000  | 1141.140000	| 0.070588	|	4.110000  | 4.501977	| 0.095372	|	3.480000  | 3.570000	| 0.025862	|
	258.620000  | 253.439214	| 0.020032	|	1141.140000  | 1141.140000	| 0.000000	|	4.180000  | 4.506360	| 0.078077	|	3.570000  | 3.570000	| 0.000000	|
	250.000000  | 244.184665	| 0.023261	|	1170.400000  | 1170.400000	| 0.000000	|	4.430000  | 4.742498	| 0.070541	|	3.780000  | 3.780000	| 0.000000	|
	241.930000  | 256.753196	| 0.061271	|	1203.840000  | 1279.080000	| 0.062500	|	4.530000  | 4.913434	| 0.084643	|	3.870000  | 3.860000	| 0.002584	|
	241.930000  | 251.147064	| 0.038098	|	1279.080000  | 1279.080000	| 0.000000	|	4.500000  | 4.914190	| 0.092042	|	3.860000  | 3.860000	| 0.000000	|
	238.090000  | 239.243856	| 0.004846	|	1233.100000  | 1233.100000	| 0.000000	|	4.590000  | 4.956527	| 0.079853	|	3.940000  | 3.940000	| 0.000000	|



The 2nd,5th,8th data are not used in Training...
